No,PO Number,Product,No.WO/OF,First SN,Last SN,Quantity,Outer Box No.,Total Outer Box No.,Outer Box No.1,Item Code,NDC,HLR,Barcode
75,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823290pn8,0150 0000 6183 3383,0150 0000 6183 7382,4000,8,9,8,S833,0823,290,S833X015000006183338304000
76,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823290pn8,0150 0000 6183 7383,0150 0000 6183 7412,30,9,9,9,S833,0823,290,S833X015000006183738300030
77,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823291pn7,0150 0000 6177 4376,0150 0000 6177 8375,4000,1,8,1,S833,0823,291,S833X015000006177437604000
78,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823291pn7,0150 0000 6177 8376,0150 0000 6178 2375,4000,2,8,2,S833,0823,291,S833X015000006177837604000
79,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823291pn7,0150 0000 6178 2376,0150 0000 6178 6375,4000,3,8,3,S833,0823,291,S833X015000006178237604000
80,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823291pn7,0150 0000 6178 6376,0150 0000 6179 0375,4000,4,8,4,S833,0823,291,S833X015000006178637604000
81,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823291pn7,0150 0000 6179 0376,0150 0000 6179 4375,4000,5,8,5,S833,0823,291,S833X015000006179037604000
82,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823291pn7,0150 0000 6179 4376,0150 0000 6179 8375,4000,6,8,6,S833,0823,291,S833X015000006179437604000
83,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823291pn7,0150 0000 6179 8376,0150 0000 6180 2375,4000,7,8,7,S833,0823,291,S833X015000006179837604000
84,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823291pn7,0150 0000 6180 2376,0150 0000 6180 5382,3007,8,8,8,S833,0823,291,S833X015000006180237603007
85,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823294pn9,0150 0000 6183 7413,0150 0000 6184 1412,4000,1,8,1,S833,0823,294,S833X015000006183741304000
86,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823294pn9,0150 0000 6184 1413,0150 0000 6184 5412,4000,2,8,2,S833,0823,294,S833X015000006184141304000
87,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823294pn9,0150 0000 6184 5413,0150 0000 6184 9412,4000,3,8,3,S833,0823,294,S833X015000006184541304000
88,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823294pn9,0150 0000 6184 9413,0150 0000 6185 3412,4000,4,8,4,S833,0823,294,S833X015000006184941304000
89,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823294pn9,0150 0000 6185 3413,0150 0000 6185 7412,4000,5,8,5,S833,0823,294,S833X015000006185341304000
90,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823294pn9,0150 0000 6185 7413,0150 0000 6186 1412,4000,6,8,6,S833,0823,294,S833X015000006185741304000
91,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823294pn9,0150 0000 6186 1413,0150 0000 6186 5412,4000,7,8,7,S833,0823,294,S833X015000006186141304000
92,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823294pn9,0150 0000 6186 5413,0150 0000 6186 6388,976,8,8,8,S833,0823,294,S833X015000006186541300976
