No,PO Number,Product,No.WO/OF,First SN,Last SN,Quantity,Inner Box No.,Total Inner Box No.,Outer Box No.,Item Code,NDC,HLR,Barcode
045,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6162 6184,0150 0000 6162 6683,500,45,48,6,S833,0823,717,S833X015000006162618400500
046,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6162 6684,0150 0000 6162 7183,500,46,48,6,S833,0823,717,S833X015000006162668400500
047,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6162 7184,0150 0000 6162 7683,500,47,48,6,S833,0823,717,S833X015000006162718400500
048,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6162 7684,0150 0000 6162 8033,350,48,48,6,S833,0823,717,S833X015000006162768400350
049,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6145 9819,0150 0000 6146 0318,500,001,106,01,S833,0823,725,S833X015000006145981900500
050,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6146 0319,0150 0000 6146 0818,500,002,106,01,S833,0823,725,S833X015000006146031900500
051,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6146 0819,0150 0000 6146 1318,500,003,106,01,S833,0823,725,S833X015000006146081900500
052,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6146 1319,0150 0000 6146 1818,500,004,106,01,S833,0823,725,S833X015000006146131900500
053,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6146 1819,0150 0000 6146 2318,500,005,106,01,S833,0823,725,S833X015000006146181900500
054,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6146 2319,0150 0000 6146 2818,500,006,106,01,S833,0823,725,S833X015000006146231900500
055,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6146 2819,0150 0000 6146 3318,500,007,106,01,S833,0823,725,S833X015000006146281900500
056,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6146 3319,0150 0000 6146 3818,500,008,106,01,S833,0823,725,S833X015000006146331900500
057,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6146 3819,0150 0000 6146 4318,500,009,106,02,S833,0823,725,S833X015000006146381900500
058,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6146 4319,0150 0000 6146 4818,500,010,106,02,S833,0823,725,S833X015000006146431900500
059,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6146 4819,0150 0000 6146 5318,500,011,106,02,S833,0823,725,S833X015000006146481900500
060,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6146 5319,0150 0000 6146 5818,500,012,106,02,S833,0823,725,S833X015000006146531900500
061,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6146 5819,0150 0000 6146 6318,500,013,106,02,S833,0823,725,S833X015000006146581900500
