No,PO Number,Product,No.WO/OF,First SN,Last SN,Quantity,Outer Box No.,Total Outer Box No.,Outer Box No.1,Item Code,NDC,HLR,Barcode
64,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852862pn2,0150 0000 6142 6912,0150 0000 6143 0911,4000,16,24,16,S833,0852,862,S833X015000006142691204000
65,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852862pn2,0150 0000 6143 0912,0150 0000 6143 4911,4000,17,24,17,S833,0852,862,S833X015000006143091204000
66,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852862pn2,0150 0000 6143 4912,0150 0000 6143 8911,4000,18,24,18,S833,0852,862,S833X015000006143491204000
67,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852862pn2,0150 0000 6143 8912,0150 0000 6144 2911,4000,19,24,19,S833,0852,862,S833X015000006143891204000
68,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852862pn2,0150 0000 6144 2912,0150 0000 6144 6911,4000,20,24,20,S833,0852,862,S833X015000006144291204000
69,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852862pn2,0150 0000 6144 6912,0150 0000 6145 0911,4000,21,24,21,S833,0852,862,S833X015000006144691204000
70,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852862pn2,0150 0000 6145 0912,0150 0000 6145 4911,4000,22,24,22,S833,0852,862,S833X015000006145091204000
71,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852862pn2,0150 0000 6145 4912,0150 0000 6145 8911,4000,23,24,23,S833,0852,862,S833X015000006145491204000
72,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852862pn2,0150 0000 6145 8912,0150 0000 6145 9818,907,24,24,24,S833,0852,862,S833X015000006145891200907
73,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852865pn4,0150 0000 6162 8034,0150 0000 6163 2033,4000,1,5,1,S833,0852,865,S833X015000006162803404000
74,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852865pn4,0150 0000 6163 2034,0150 0000 6163 6033,4000,2,5,2,S833,0852,865,S833X015000006163203404000
75,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852865pn4,0150 0000 6163 6034,0150 0000 6164 0033,4000,3,5,3,S833,0852,865,S833X015000006163603404000
76,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852865pn4,0150 0000 6164 0034,0150 0000 6164 4033,4000,4,5,4,S833,0852,865,S833X015000006164003404000
77,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852865pn4,0150 0000 6164 4034,0150 0000 6164 6388,2355,5,5,5,S833,0852,865,S833X015000006164403402355
